Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
application2,Powered On,Normal,233.11  GB,233.11  GB,2645,3111,87,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),application2.adcfs.capita.co.uk,
BAUBCKPSMSOP01,Powered On,Normal,34.22  GB,16.2  GB,22,4150,2,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),BAUBCKPSMSOP01.GSPPRI.Capita.co.uk,
BAUBCKPSMSQL01,Powered On,Normal,54.22  GB,27.01  GB,91,4154,0,cfsbckpsmesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),BAUBCKPSMSQL01.GSPPRI.Capita.co.uk,
BAUBCKPSMWEB01,Powered On,Normal,44.22  GB,17.75  GB,45,4161,0,cfsbckpsmesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),BAUBCKPSMWEB01.GSPPRI.Capita.co.uk,
BUSTEST,Powered On,Normal,54.36  GB,42.37  GB,115,4090,1,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),bustest.adcfs.capita.co.uk,
capitabecexch01,Powered On,Normal,837.54  GB,778.04  GB,759,4131,13,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),capitabecexch01.central.ad.capita.co.uk,
CFASERVER1,Powered On,Normal,34.03  GB,16.15  GB,23,2040,5,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),cfaserver1.adcfs.capita.co.uk,CFA-online
cfsb1db,Powered On,Normal,236.79  GB,236.79  GB,598,2122,8,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSB1DB.adcfs.capita.co.uk,
cfsb8pri,Powered On,Normal,89.21  GB,89.21  GB,92,1049,12,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsb8pri.adcfs.capita.co.uk,
CFSBCK3PRSVP01,Powered On,Normal,257.12  GB,20.48  GB,713,1037,15,cfsbckitiesx01.adcfs.capita.co.uk,Red Hat Enterprise Linux 6 (32-bit),SP0001687319,
cfsbck3prweb01,Powered On,Normal,56.11  GB,56.11  GB,1472,6185,48,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),cfsbck3prweb01.adcfs.capita.co.uk,
CFSBCKACCAPP01,Powered On,Normal,160.14  GB,160.14  GB,255,10330,8,cfsbckitiesx09.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKACCAPP01.adcfs.capita.co.uk,
