Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
CFSBCKACCAPP01,Powered Off,Normal,10.47  GB,0  B,0,0,0,cfsicsitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
CFSBCKBICSQL01,Powered Off,Normal,2.21  GB,0  B,0,0,0,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
CFSBCKBICWEB01,Powered Off,Normal,2.21  GB,0  B,0,0,0,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
CFSBCKCCHAPP01,Powered Off,Normal,4.21  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKCCHAPP01.adcfs.capita.co.uk,
CFSBCKCOWAPP01,Powered Off,Normal,6.32  GB,0  B,0,0,0,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),,
CFSBCKCOWAPP02,Powered Off,Normal,6.32  GB,0  B,0,0,0,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),,
CFSBCKCOWAPP03,Powered Off,Normal,6.32  GB,0  B,0,0,0,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),,
CFSBCKCOWWEB01,Powered Off,Normal,6.32  GB,0  B,0,0,0,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),,
CFSBCKCOWWEB02,Powered Off,Normal,6.32  GB,0  B,0,0,0,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),,
CFSBCKCOWWEB03,Powered Off,Normal,6.32  GB,0  B,0,0,0,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),,
CFSBCKINTFTP02,Powered Off,Normal,2.21  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
CFSBCKITDAPP01,Powered Off,Normal,6.25  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKITDAPP01,
CFSBCKSEPAPP01,Powered Off,Normal,2.21  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
CFSBCKTFSAPP02,Powered Off,Normal,6.25  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
CFSBCKTFSSQL02,Powered Off,Normal,6.25  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
cfsbckxcpapp01,Powered Off,Normal,4.21  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbckxcpapp01.adcfs.capita.co.uk,
CFSBECKCFORM1,Powered Off,Normal,3.71  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),,
CFSBECKWK10523,Powered Off,Normal,2.25  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),CFSBECKWK10523.adcfs.capita.co.uk,
CFSBFTAP02,Powered Off,Normal,2.71  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),,
CFSDKPITINFS02,Powered Off,Normal,4.25  GB,0  B,0,0,0,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
CFSEXEITIDC01,Powered On,Normal,114.16  GB,114.16  GB,89,4149,12,cfsexeitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSEXEITIDC01.adcfs.capita.co.uk,
CFSEXEITINFS01,Powered On,Normal,1.46  TB,1.18  TB,233,4149,18,cfsexeitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSEXEITINFS01.adcfs.capita.co.uk,NeverFail
CFSEXEITIPRI01,Powered On,Normal,154.11  GB,154.11  GB,233,4135,14,cfsexeitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSEXEITIPRI01.adcfs.capita.co.uk,
cfsicsitidc01,Powered On,Normal,112.12  GB,49.8  GB,460,2081,19,cfsicsitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSICSITIDC01.adcfs.capita.co.uk,
cfsicsitivsr01,Powered On,Normal,14.65  GB,4.73  GB,46,1449,2,cfsicsitiesx02.adcfs.capita.co.uk,SUSE Linux Enterprise 11 (64-bit),cfsicsitivsr01,Additional vSphere Replication Server
CFSICSSECAPP01,Powered On,Normal,21.61  GB,19.11  GB,184,2051,1,cfsicsitiesx02.adcfs.capita.co.uk,Other (32-bit),cfsicssecapp01,
CFSICSSMRAPP01,Powered On,Normal,42.13  GB,22.84  GB,46,2078,8,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSICSSMRAPP01,
CFSLDSDLPAPP01,Powered Off,Normal,4.21  GB,0  B,0,0,0,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),,Dolphin Application and Docs Store
CFSLDSDLPAPP02,Powered Off,Normal,4.21  GB,0  B,0,0,0,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),,Dolphin Application Server
CFSLDSDLPSQL01,Powered Off,Normal,8.25  GB,0  B,0,0,0,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),,Dolphin Prod SQL
CFSLDSSAPPRI01,Powered Off,Normal,4.21  GB,0  B,0,0,0,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),,
CFSNTHBHALLDEV,Powered On,Normal,22.11  GB,22.11  GB,0,1982,0,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHBHALLDEV.bhalldev.capitafinancial.co.uk,
CFSNTHBHALLTEST,Powered On,Normal,22.16  GB,22.16  GB,0,1989,1,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthbhalltest.bhalltst.capitafinancial.co.uk,
CFSNTHBHALLUAT,Powered On,Normal,22.11  GB,22.11  GB,0,2076,3,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHBHALLUAT.BHALLUAT.CAPITA.CO.UK,
cfsnthcal01,Powered On,Normal,138.81  GB,138.81  GB,962,2072,20,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthcal01.adcfs.capita.co.uk,
cfsnthcal02,Powered On,Normal,62.8  GB,25.22  GB,430,2147,13,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthcal02,
CFSNTHCBSWEB01,Powered On,Normal,146.11  GB,94.87  GB,75,6193,3,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSNTHCBSWEB01,
cfsnthcfgdevapp,Powered On,Normal,32.11  GB,32.11  GB,25,1990,3,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthcfgdevapp.CFGDEV.CAPITA.CO.UK,
CFSNTHCFGDEVSQL,Powered On,Normal,43.61  GB,43.61  GB,50,3521,3,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHCFGDEVSQL.CFGDEV.CAPITA.CO.UK,
cfsnthcfgdevweb,Powered On,Normal,21.32  GB,21.32  GB,0,1278,11,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthcfgdevweb.CFGDEV.CAPITA.CO.UK,
CFSNTHCFGTSTAPP,Powered On,Normal,22.11  GB,22.11  GB,0,2076,4,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),cfsnthcfgtstapp.adcfs.capita.co.uk,
CFSNTHCFGTSTSQL,Powered On,Normal,71.94  GB,71.94  GB,50,3621,4,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthcfgtstsql.adcfs.capita.co.uk,
CFSNTHCFGTSTWEB,Powered On,Normal,22.11  GB,22.11  GB,0,2078,6,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),cfsnthcfgtstweb.adcfs.capita.co.uk,
cfsnthcfguatapp,Powered On,Normal,22.11  GB,22.11  GB,25,2076,7,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthcfguatapp.CFG-UAT.CAPITA.CO.UK,
CFSNTHCFGUATSQL,Powered On,Normal,23.61  GB,23.61  GB,25,3622,2,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHCFGUATSQL.CFG-UAT.CAPITA.CO.UK,
cfsnthcfguatweb,Powered On,Normal,22.11  GB,22.11  GB,25,2079,3,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthcfguatweb.CFG-UAT.CAPITA.CO.UK,
CFSNTHCOWVDI01,Powered On,Normal,42.12  GB,32.91  GB,50,2082,12,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSNTHCOWVDI01.adcfs.capita.co.uk,
cfsnthdevwebapp,Powered On,Normal,22.11  GB,22.11  GB,25,2078,5,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthdevwebapp.GSPDEV.CAPITA.CO.UK,
CFSNTHFP01,Powered On,Normal,834.11  GB,696.14  GB,75,4137,12,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),CFSNTHFP01.adcfs.capita.co.uk,
CFSNTHGSPDEVSOP,Powered On,Normal,22.11  GB,22.11  GB,25,2079,4,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHGSPDEVSOP.GSPDEV.CAPITA.CO.UK,
CFSNTHGSPDEVSQL,Powered On,Normal,193.61  GB,193.61  GB,75,3620,5,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthgspdevsql.GSPDEV.CAPITA.CO.UK,
